No,例文,回答者総数,○,?,×,無回答
66,アメリカに長くいて、日本語を話す機会が少ないので，日本語を話すことができなくなった。,1856,72.6,14.4,13.0,0.1
67,太郎は，飛行場に着いて，家に電話した。,2151,72.4,17.6,9.8,0.2
68,夕食の支度がされている。,1506,72.2,13.7,14.1,0.0
69,道で，きれいな着物を着ていた人にぱったり出会った。,2151,71.4,14.1,14.2,0.3
70,太郎が花子をなぐったことはうそだ。,2151,71.4,17.0,11.5,0.1
71,自分が癌かも知れないことが，浩を絶望に追いやった。,1506,71.2,17.4,11.1,0.3
72,太郎が足の骨を折って，花子が打撲傷を受けた。,2151,71.2,18.0,10.8,0.0
73,太郎は，僕の処に謝りに行ってもよいと，皆に言っているらしい。,1506,70.8,11.6,17.4,0.2
74,太郎が遊びに来た。彼がおみやげに果物を持って来てくれた。,1506,70.8,17.9,11.0,0.3
75,家に帰ってから，太郎から電話がありました。,2151,70.8,15.7,13.3,0.1
76,太郎ががっかりしたニュース。,1506,70.5,21.4,8.0,0.0
77,加藤氏は，健康だから，忙しい日程をこなせた。,1506,70.4,22.9,6.1,0.6
78,何度同じことを言ったら，わかりますか。,1506,70.2,18.5,11.3,0.1
79,彼は，金があった時には，友達と飲み歩いた。,1506,70.1,13.9,15.5,0.5
80,関係者に以上の手続きが取られた。,1506,70.1,12.7,17.0,0.2
81,太郎は母親のやさしい心遣いを感じようとした。,1506,69.5,18.5,11.8,0.3
82,太郎は花子がその時読んでいる本を取り上げた。,2151,69.2,12.8,17.9,0.1
83,太郎はなんでも解り過ぎだ。,1506,69.1,18.7,12.2,0.1
84,昔，鍛治屋と大工があるところで力試しをした。,1506,69.0,18.3,12.5,0.1
85,太郎は日本語を解りはじめた。,1856,69.0,14.4,16.6,0.0
86,花子は，太郎に失職をされて弱った。,1506,68.9,17.6,13.3,0.2
87,あなたにお酒をやめられるものですか。,1506,68.9,12.4,18.6,0.1
88,二郎の頭が壁とぶつかった。,1506,68.5,15.6,15.7,1
89,君は東京で生まれたか。,1506,67.7,22.0,10.1,0.1
90,太郎が来ましたか。,1856,66.7,19.8,13.5,0.1
91,君が日本に行くなら、僕は淋しくなるでしょう。,1506,66.5,17.7,15.7,0.1
92,太郎が死ぬなら，花子に遺産が入るはずです。,1506,66.1,16.2,17.7,0.1
93,太郎がごはんを食べてから、花子がやって来た。,2151,65.7,20.0,14.0,0.2
94,床から天井までで何メートルありますか。/床から天井までで何メートルあるか。,2151,65.6,14.8,19.5,0.2
95,花子が旅行の日程を縮ませた。,1506,65.4,16.3,17.8,0.5
96,秋子は中国語を読むことができて，日本語を話すことができる。/太郎はドイツ語を読むことができて，イタリア語を話すことができる。,2151,65.1,22.1,12.6,0.1
97,太郎と花子と夏子が訪ねて来た。太郎が果物を持って来てくれた。花子がお菓子をくれた。夏子が本をくれた。,350,64.9,25.7,9.4,0.0
98,太郎が，前に僕にお金を貸してやったことがあると、電話をかけて来た。,1856,64.7,19.3,15.7,0.2
99,授業料を徴収しにくいのは，親のない学生からだけです。,1506,63.9,18.7,17.3,0.2
100,日本に何かを勉強をしに来ている外人は……。,1506,63.3,16.9,19.5,0.3
101,太郎は中国語もわかって、日本語もわかる。/太郎はロシア語もわかって，イタリア語もわかる。,2151,62.2,27.0,10.7,0.1
102,泣き叫んでいた子供の中で，父親はうろたえるばかりだった。,1506,61.9,16.7,21.1,0.3
103,太郎は，子供が遊んでいたのを見ていた。,1856,61.5,14.0,23.9,0.5
104,太郎が，僕にお金を貸してやりたいと，電話をかけて来た。,1506,61.0,18.5,20.4,0.2
105,太郎は自分の頭の悪さを歎こうとした。,1506,60.0,21.1,18.4,0.5
106,君は1930年に生まれたか。,565,57.0,28.5,14.5,0.0
107,関係者から以上の手続きが取られた。,1856,59.4,21.2,19.2,0.2
108,太郎は，僕の処に謝りに来てもよいと，皆に言っているらしい。,1506,58.9,17.8,23.1,0.2
109,貴女がここにいないで，淋しい。,1506,58.6,22.2,18.9,0.3
110,太郎が花子をなぐったのはありそうなことだ。,2151,58.5,24.3,17.1,0.1
111,太郎は，子供に病気になられて困った。,1506,57.8,20.1,22.1,0.1
112,太郎が死なないうちに，お金を借りておいた。/太郎が死なないうちに、お金を借りていた。,2151,57.1,17.2,25.5,0.1
113,この年若い夫婦に，このような店を持てたのは，行助のおかげであった。,1506,56.6,18.8,24.6,0.1
114,太郎が、僕に会いに行きたいと、電話をかけて来た。,1506,56.4,15.7,27.8,0.1
115,太郎が来なかったとは確かだ。,1506,56.4,8.8,34.3,0.5
116,試験にパスできないで悲しかった。,1506,56.2,28.2,15.5,0.1
117,僕が行くつもりなら，太郎もそのつもりでしょう。,1506,56.2,21.9,21.8,0.1
118,太郎が花子をなぐったことはありそうなことだ。,2151,56.1,24.6,19.2,0.2
119,今年（私が）大学を卒業するなら，就職が大変でしょう。,1506,55.5,22.2,22.1,0.1
120,太郎やら花子やら次郎やらが見舞いに来てくれた。,1506,55.1,22.222.4,0.3
121,貴女がここにいないで，淋しい思いをしている。,1506,55.0,25.2,19.8,0.1
122,太郎はその時英語ができない外国人と結婚した。,2151,54.8,27.517.5,0.2
123,溺れかかっていた子供が地元の人から救助され,1856,54.6,15.9,29.2,0.3
124,車掌が乗客を素早く降りさせた。,1506,54.5,16.3,29.0,0.2
125,戦争が終わったあと10年たった。,2151,54.2,22.0,23.7,0.1
126,僕は，フランス語が解らなくて，ドイツ語が解る。,1506,54.2,27.7,18.0,0.1
127,壁と二郎の頭がぶつかった。,1506,54.2,19.1,26.6,0.1
128,太郎がはるばるやって来た駅。,1506,54.1,27.3,18.5,0.1
129,太郎が引き受ければ，すべての人事がうまく行,1506,53.9,25.2,20.7,0.2
130,会えたのは，太郎だけにだ。,1506,53.8,21.5,24.6,0.1
131,僕が買物できるのは，デパートだけでです。,1506,53.7,23.0,23.2,0.0
132,この病気は，日本窒素が悪いんだ。,1506,53.5,20.4,25.7,0.4
133,花の中で桜がいい。,1856,53.1,31.0,15.8,0.1
134,太郎は日本語が出来過ぎだ。,1506,52.8,22.6,24.2,0.0
135,あの人はこの問題の答えを知っていない。,1506,52.0,22.2,25.8,0.1
136,日本に行くなら，アメリカが懐しくなるでしょう。,1506,51.3,25.3,23.2,0.3
137,山田先生には御自分の息子さんが五人もおいでになる。,1506,50.5,20.2,28.8,0.5
138,僕が昨日花子を訪ねた。,1506,49.4,25.2,25.2,0.1
139,太郎がいつ来ましたか。,1506,48.9,24.2,26.9,0.1
140,僕は，パリに行かなくて，ロンドンに行った。,1506,48.8,28.8,22.4,0.0
141,太郎は英語ができなかった外国人と結婚した。,2151,48.8,25.5,25.6,0.1
142,太郎は，台所で魚を焼いていたにおいに悩まされた。,1506,48.7,22.9,28.0,0.4
143,太郎は，遊ぶ子供に話しかけた。,1506,48.5,23.4,28.0,0.1
144,太郎は父の足を滑らせた。,1506,45.6,25.1,29.2,0.1
145,太郎にだけ会えましたか。,1506,44.5,33.3,22.2,0.1
146,先月ひいたかぜは注射でだけ直った。/先月ひいたかぜは注射でだけ治った。,1506,44.5,16.8,38.4,0.3
147,スキーに行くと，用意が大変です。,1506,43.9,26.5,29.3,0.3
148,病気なのは，体重が10ポンド減ったからです。,1506,43.8,24.7,31.3,0.2
149,加藤氏がしたことは，子供を流感にかからせることだった。,1856,43.5,26.6,29.6,0.3
150,太郎はお金が要り過ぎだ。,1506,43.5,26.1,30.1,0.3
151,僕のかぜは，いつも注射でだけ直っている。/僕のかぜは，いつも注射でだけ治っている。,1506,43.4,20.1,36.3,0.1
152,東京でる会社に勤めていると，二郎に会った。,1856,43.3,28.7,27.9,0.2
153,山田君は，先生の言うことを聞かないで，悪い学生です。,1506,42.4,25.8,31.5,0.2
154,あそこへ行けるのはバスだけでです。,1506,42.3,20.0,37.6,0.1
155,電車とバスとタクシーとダンプカーが互いに追突した。,1506,42.0,23.6,34.1,0.2
156,「机の上に本がありますか。」「はい、机の上に本はあります。」/「はい，机の上にあります。」,350,40.9,28.6,30.6,0.0
157,10時になったあとで家を出た。,2151,40.8,27.2,31.9,0.1
158,私は背中が寒くなることを感じた。,2151,39.8,24.6,35.4,0.1
159,床から天井までに何メートルありますか。/床から天井までに何メートルあるか。,2151,39.3,16.3,44.4,0.1
160,二郎の頭と壁がぶつかった。,1506,39.0,28.5,32.3,0.1
161,太郎は，次郎が自分（=太郎）をほめたとき，花子のそばで気絶していた。,1856,38.8,24.1,36.7,0.3
162,オランダの第一流のパイロットが日本人から雇われている。,1506,38.2,22.6,39.0,0.1
163,先生は，自分が教えていらっしゃる学生と結婚したがっていらっしゃるよ。,1506,35.8,27.2,36.7,0.3
164,昨日の午前中にお金が要るので，お父さんに電話した。,350,35.7,14.6,49.1,0.6
165,僕が行きたいなら，太郎も行きたがっているでしょう。,1506,35.5,29.7,34.5,0.3
166,花子は，太郎がぶったので，泣きましたか。,1856,34.7,29.3,35.7,0.3
167,死んでいる友達。,1506,34.7,27.0,38.0,0.3
168,山田君の本が自分（=山田君）の机の上にある。/山田君の本が自分(=山田君)のテーブルの上にある。,525,35.2,17.9,46.5,0.4
169,赤ん坊の頭がかゆいらしい。,1506,33.8,27.6,38.4,0.1
170,6時の鐘がなってから，7時に映画を見に行った。,2151,33.6,36.4,29.7,0.4
171,（私が）日本に行く計画なら，お金が要るでし,1506,33.3,30.9,35.5,0.2
172,太郎が次郎に自分=次郎)の生い立ちを聞いた。,1856,33.3,15.9,50.6,0.2
173,おや，雨降って来た。,1506,33.1,27.4,39.4,0.1
174,私は兄を講演させた。,1506,32.8,23.8,43.2,0.3
175,僕の先生、あの人です。/「僕の先生、あの人です。」,1506,32.7,41.5,25.7,0.1
176,誰にこの歌を歌えるか。,1506,31.8,23.4,44.6,0.1
177,有志から祖国復帰運動が続けられてきた。,1506,31.7,21.1,47.1,0.1
178,私の足がだるい。,1506,31.5,33.9,34.3,0.3
179,われわれは，人に自分の仕事がほめられたい。,1506,31.5,21.2,46.9,0.3
180,私は，妹が結婚していた時に、久しぶりに伯父に会った。,1506,31.3,26.2,42.2,0.3
181,明日東京に行ったら，一緒に連れて行ってください。,1506,30.0,13.4,56.4,0.1
182,自転車ばかりでは，ミシシッピ河は渡れない。/自動車ばかりではミシシッピ河は渡れない。,1506,29.8,27.3,42.7,0.2
183,英語を話すなら，田中さんに解らないでしょう。,1506,29.6,27.3,42.6,0.5
184,魚の鯛がいい。,1506,29.3,30.5,39.8,0.4
185,雨が降ると，どしゃぶりだ。,1506,29.2,30.8,39.8,0.1
186,隊長の質問に対する直ちの答え。,1856,28.7,30.8,40.2,0.2
187,家で寝ていると，次郎が花子を訪ねた。,1506,28.4,29.0,42.3,0.3
188,期末試験が受けにくい学生が数人いる。,1856,28.3,28.6,42.9,0.2
189,花子が肥っていないで，夏子が肥っている。,1506,28.2,33.8,37.8,0.2
190,計画がジョンから変更された。,1506,28.1,25.8,45.6,0.6
191,戦争が終わったあと10年になります。,2151,27.9,25.7,46.4,0.0
192,有志に苦しい祖国復帰運動が続けられてきた。,1506,27.9,22.9,48.7,0.5
193,大変だ，山田君自殺した。,1506,27.2,37.0,35.9,0.0
194,太郎は，花子が自分をかくまってやった家を修繕している。,1506,26.6,17.2,55.8,0.3
195,おや，太郎来た。,1856,26.3,25.2,48.4,0.1
196,太郎に英語を話せないのなら，しかたがない。,1506,26.2,22.2,51.5,0.1
197,太郎は花子が自分（=太郎）に会いに来たとき，もう死んでいました。,1506,26.2,22.2,51.3,0.3
198,坂にゆっくりのぼった。,1506,25.9,13.8,60.3,0.0
199,列車が名古屋に着くまでで雑誌を読むのをやめた。,2151,25.8,22.1,52.0,0.1
200,戦争が終わったあとで10年たった。,2151,25.7,22.9,51.1,0.3
201,太郎に英語を話せるとは知らなかった。,1856,25.1,18.8,56.0,0.1
202,同僚が太郎に困らせられている。,1506,25.0,14.0,60.9,0.1
203,（私が）寒いなら，もっと着ます。,1506,24.8,28.8,46.3,0.2
204,この大学は，基礎科学を何も教えないで大学である。，三流,1506,23.2,27.8,48.9,0.1
205,山田先生は私がおなつかしかったらしい。/田先生は私がおなつかしかったらしい。,1546,28.0,17.1,54.7,0.1
206,この本を読むなら，博識になります。,1506,22.2,34.9,42.4,0.5
207,試験が受かった。,1506,21.8,14.6,63.5,0.1
208,太郎に英語を話せないことを忘れていた。,1506,21.7,17.9,60.1,0.3
209,太郎は日本語が話せている。,1506,21.6,28.6,49.7,0.1
210,お昼まででこれをしてください。,2151,21.0,20.5,58.4,0.0
211,山田君が書いた本が自分(=山田君)には気に入らない。,1506,20.8,20.4,58.6,0.3
212,山田先生は病身の私がとてもおいたわしかったらしい。,1506,20.8,14.0,65.0,0.1
213,太郎は黒い帽子をしている。,1506,20.4,16.4,63.1,0.1
214,タバコをのむなら，やめられなくなるでしょう。,1506,19.9,31.9,48.2,0.0
215,この河では，もう泳がれなくなりました。,1506,19.7,16.3,63.9,0.2
216,本箱が購入したい。,1506,19.7,18.0,62.1,0.2
217,太郎が風で父親の帽子を飛ばした。,1856,19.0,16.4,64.4,0.2
218,子供たちがしたことは，物音に驚くことだった。,1506,18.5,27.3,53.9,0.3
219,戦争が終わったあとに，10年たった。,2151,18.4,22.8,58.7,0.2
220,太郎は，花子が自分（=太郎）を見るとき，いつも顔色が悪いそうだ。,1856,18.3,25.1,56.0,0.5
221,太郎は日本語が話せ過ぎだ。,1506,18.0,27.2,54.6,0.1
222,太郎は花子が自分に会いに行くときは，いつもソワソワしている。,1856,17.5,16.9,65.6,0.1
223,列車が大阪に着くまでで食事をした。,2151,17.4,23.4,59.0,0.1
224,私が着くと，太郎が読んでいる本はシェークスピアだった。,2151,17.3,34.8,47.6,0.2
225,花で桜がいい。,1506,16.4,37.2,46.3,0.1
226,太郎は去年東京に行きましたが，東京に行かな,2151,16.0,20.8,63.1,0.0
227,麻がいい夏服。,1506,15.5,33.0,51.3,0.1
228,私は，妹が結婚している時に，久しぶりに伯父に会った。,1506,14.9,28.4,56.6,0.1
229,(あなたは私が)おうらやましいでしょう。,1506,14.7,19.0,65.9,0.4
230,山田教授は，新しい理論が解らないで，いい学者ではない。,1856,13.8,22.3,63.8,0.1
231,お客さんがお着き始めになった。,1856,13.3,14.9,71.5,0.3
232,壁が二郎の頭とぶつかった。,1856,10.9,21.2,67.7,0.2
233,小原は会社で早朝から会議が始まる。,1506,9.8,24.2,65.9,0.1
234,魚で鯛がいい。,1506,7.8,29.9,61.9,0.4
235,僕に英語が苦手なことを忘れたのかい。,1856,7.2,9.1,83.7,0.0
236,京都が外人が居る。,1856,0.2,0.6,99.0,0.2
